Composition,YS (MPa),radius,radius_diff,VEC,VEC_diff,Hmix,Smix,allen_en,allen_diff,ion,ion_diff,melting,melting_diff,GGA,GGA_diff,c11,c11_diff,delta
Al0.1601Cr0.2001Fe0.2001Ni0.4398,479,1.286551,5.17,7.68,33.09,-12.22,10.8,1.7754102999999999,0.111,7.25345746,9.3,1696.54195,21.55,0.022374000000000116,17602.29,239.42163499999998,29.25,0.4
Al0.1608Co0.1608Cr0.1608Fe0.1608Ni0.3566,545,1.2849,5.18,7.75,32.1,-11.87,12.83,1.7805984,0.107,7.313576820000001,9.45,1683.2958000000003,21.15,-0.20342100000000007,1795.21,246.02499,29.31,0.48
Al0.1626Co0.1626Cr0.1626Fe0.1626Ni0.3497,545,1.2856519999999998,5.2,7.72,32.26,-11.92,12.88,1.7798638000000002,0.107,7.3114615800000005,9.49,1683.1649,21.27,-0.229113,1599.2,246.05166,29.47,0.48
Al0.1667C0.1667Co0.1667Cr0.1667Fe0.1667Ni0.1667,1251,1.2319129999999998,12.78,6.67,38.39,-33.9,14.9,1.8882109,0.309,7.907464509999999,20.85,2031.32285,43.23,-1.673668,242.8,377.367125,80.46,0.09
Al0.1667Co0.1667Cr0.1667Fe0.1667Ni0.1667Si0.1667,2411,1.3002599999999997,4.96,6.67,38.39,-27.34,14.9,1.7835233000000001,0.113,7.389260889999998,10.35,1675.0849500000002,21.61,-1.1869039999999997,307.38,232.30145100000001,34.09,0.61
Al0.1667Co0.1667Cu0.1667Fe0.1667Ni0.1667Ti0.1667,1612,1.321931,6.98,7.5,39.82,-16.9,14.9,1.7275121,0.178,7.32873212,9.56,1587.8341699999999,21.53,-1.626992,240.16,203.148955,32.1,0.31
Al0.1667Co0.1667Cu0.1667Fe0.1667Ni0.3333,544,1.2834659999999998,5.22,8.5,30.94,-5.89,12.98,1.8106741,0.092,7.463261859999999,8.96,1553.15467,20.25,-0.35361699999999996,1038.45,217.41033499999998,29.49,0.48
Al0.1667Cr0.2083Fe0.2083Mn0.2083Ni0.2083,1200,1.3111260000000002,5.0,6.96,31.99,-11.39,13.35,1.7436511000000001,0.096,7.19313312,9.22,1651.4167499999999,22.95,-1.135064,348.12,269.192495,35.46,0.53
Al0.1667Hf0.1667Nb0.1667Ta0.1667Ti0.1667Zr0.1667,1489,1.520304,5.63,4.17,16.48,-14.78,14.9,1.3697738999999998,0.135,6.82168073,8.2,2251.2001499999997,32.41,-2.1987729999999996,174.65,184.60024599999997,29.52,0.47
Al0.1679Co0.1679Cr0.1679Fe0.1679Ni0.3285,545,1.2871359999999998,5.23,7.65,32.62,-12.03,13.0,1.7765936999999998,0.107,7.30073438,9.62,1681.76305,21.63,-0.30601599999999984,1208.42,245.984085,29.95,0.48
