Composition,YS (MPa)
Al0.3029Cr0.2324Fe0.2324Ni0.2324,1122.8
Al0.3125Li0.1563Mg0.3125Sn0.0625Zn0.1563,546
Al0.3333Co0.1667Cr0.1667Fe0.1667Ni0.1667,1241
Al0.6498Cr0.05Cu0.05Mg0.05Si0.1501Zn0.05,490
Al0.6498Cu0.05Fe0.05Mg0.05Si0.1501Zn0.05,422
Al0.6498Cu0.05Mg0.05Mn0.05Si0.1501Zn0.05,622
Al0.6498Cu0.05Mg0.05Ni0.05Si0.1501Zn0.05,534
Al0.6498Cu0.05Mg0.05Si0.1501Zn0.05Zr0.05,565
Al0.8013Cu0.0497Li0.0497Mg0.0497Zn0.0497,488
Al0.8013Li0.0497Mg0.0497Sn0.0497Zn0.0497,415
C0.0081Co0.1968Cr0.1968Fe0.1968Mn0.1968Nb0.0081Ni0.1968,732
C0.0244Hf0.122Mo0.122Nb0.2439Ti0.2439Zr0.2439,1183
C0.0513Mo0.2564Nb0.2564Re0.1282Ta0.0513W0.2564,1074
C0.0698Hf0.1163Mo0.1163Nb0.2326Ti0.2326Zr0.2326,1201
C0.0909Co0.1818Cr0.1818Fe0.1818Mn0.1818Ni0.1818,520.9
C0.093Mo0.2326Nb0.2326Re0.1163Ta0.093W0.2326,1144
C0.1111Mo0.2222Nb0.2222Re0.1111Ta0.1111W0.2222,1202
C0.1277Mo0.2128Nb0.2128Re0.1064Ta0.1277W0.2128,1241
C0.1667Co0.1667Cr0.1667Fe0.1667Mn0.1667Ni0.1667,643.8
Co0.0487Cr0.1564Cu0.3471Ni0.3506Si0.0971,777
Co0.0528Cu0.0528Fe0.0528Nb0.7886Ni0.0528,1415
Co0.064Cu0.064Fe0.064Nb0.744Ni0.064,1703
Co0.0868Cu0.0868Fe0.0868Nb0.6527Ni0.0868,1635
Co0.1111Cu0.1111Fe0.1111Nb0.5556Ni0.1111,1498
Co0.1161Cr0.2326Fe0.2326Ni0.3488Ti0.0698,586
Co0.125Cr0.125Cu0.125Fe0.125Mn0.125Ni0.125Ti0.125V0.125,1312
Co0.1667Cr0.1667Cu0.1667Fe0.1667Ni0.1667Ti0.1667,1272
Co0.1667Cr0.1667Fe0.1667Mn0.1667Ni0.1667V0.1667,1660
Co0.1667Cr0.1667Fe0.3333Ni0.3333,214
Co0.1724Cr0.1724Cu0.1724Fe0.1724Ni0.1724Ti0.1379,1042
Co0.1724Cr0.1724Fe0.1724Mn0.1379Ni0.1724Pd0.1724,650
Co0.1735Cr0.1735Fe0.1735Mn0.1735Ni0.1735V0.1327,780
Co0.1739Cr0.1739Fe0.1739Mn0.1739Ni0.1739V0.1304,740
Co0.1786Cr0.1786Fe0.1786Mn0.1071Ni0.1786Pd0.1786,650
Co0.1818Cr0.1818Cu0.1818Fe0.1818Ni0.1818Ti0.0909,700
Co0.1818Cr0.1818Fe0.1818Mn0.1818Ni0.1818V0.0909,620
Co0.1818Cr0.1818Fe0.1818Nb0.0726Ni0.382,640
Co0.1852Cr0.1852Fe0.1852Mn0.0741Ni0.1852Pd0.1852,650
Co0.1905Cr0.1905Fe0.1905Mn0.1905Ni0.1905V0.0476,200
Co0.1923Cr0.1923Fe0.1923Mn0.0385Ni0.1923Pd0.1923,650
Co0.1927Cr0.1927Cu0.1927Fe0.1927Ni0.1927V0.0366,616
Co0.1927Cr0.1927Fe0.1927Mn0.1927Mo0.0366Ni0.1927,765
Co0.1947Cr0.1947Cu0.1947Fe0.1947Ni0.1947V0.0265,330
Co0.1947Cr0.1947Fe0.1947Mn0.1947Mo0.0265Ni0.1947,560
Co0.1966Cr0.1966Cu0.1966Fe0.1966Ni0.1966V0.0171,307
Co0.1966Cr0.1966Fe0.1966Mn0.1966Mo0.0171Ni0.1966,330
Co0.1983Cr0.1983Cu0.1983Fe0.1983Ni0.1983V0.0083,303
Co0.1983Cr0.1983Fe0.1983Mn0.1983Mo0.0083Ni0.1983,225
Co0.19Cr0.19Fe0.19Mn0.19Ni0.19V0.05,200
Co0.2128Fe0.2128Mo0.0426Ni0.4255V0.1064,252
Co0.2222Cr0.2222Fe0.2222Ni0.2222W0.1111,556
Co0.2267Cr0.2267Fe0.2267Nb0.0934Ni0.2267,638
Co0.2321Cr0.2321Fe0.2321Nb0.0717Ni0.2321,479
Co0.2326Cr0.2326Fe0.2326Ni0.2326Ti0.0698,540
Co0.2376Cr0.2376Fe0.2376Mo0.0494Ni0.2376,254.7
Co0.2378Cr0.2378Fe0.2378Nb0.049Ni0.2378,403
Co0.2381Cr0.2381Fe0.2381Mo0.0476Ni0.2381,400
Co0.2381Cr0.2381Fe0.2381Ni0.2381Ti0.0476,700
Co0.2381Cr0.2381Fe0.2381Ni0.2381W0.0476,335
Co0.2407Cr0.2407Fe0.2407Nb0.0373Ni0.2407,322
Co0.2437Cr0.2437Fe0.2437Nb0.0251Ni0.2437,318
Co0.2449Cr0.2449Fe0.2449Mo0.0203Ni0.2449,198.8
Co0.25Cr0.1786Fe0.2857Ni0.2857,241
Co0.25Cr0.25Fe0.25Mn0.25,338
Co0.25Cr0.25Mn0.25Ni0.25,282
Co0.25Fe0.25Mn0.25Ni0.25,170
Co0.2667Fe0.2667Ni0.2667Si0.2,1301
Co0.2857Fe0.2857Ni0.2857Si0.1429,476
Co0.2Cr0.2Cu0.2Fe0.2Ni0.2,230
Co0.2Cr0.2Cu0.2Ni0.2Zn0.2,2121
Co0.3077Fe0.3077Ni0.3077Si0.0769,196
Co0.346Cr0.1924Fe0.2308Ni0.2308,299
Co0.4581Cr0.2084Fe0.1667Ni0.1667,392
Co0.5907Cr0.2274Fe0.091Ni0.091,482
Cr0.1201Mo0.1998Nb0.4198Ta0.0101Ti0.1301V0.1201,2680
Cr0.1667Mo0.1667Nb0.1667Ta0.1667V0.1667W0.1667,3338
Cr0.2326Fe0.2326Ni0.4651Ti0.0698,672
Cr0.2326Ta0.2326Ti0.0698V0.2326W0.2326,2050
Cr0.2398Ta0.2398Ti0.0408V0.2398W0.2398,2034
Cr0.25Mo0.25Nb0.25Ti0.25,1630
Cr0.25Mo0.25Ta0.25Ti0.25,1795
